institution,institution_full,institution_ror,dataset_id,doi,creator_order,given_name,family_name,author_name,orcid,pids,affiliation_source,doi_norm,doi_norm_1,removal_reason
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,2,,Havranek,"Havranek, Tomas",,doi:10.7910/dvn/l28uaq,openaire,10.7910/dvn/l28uaq,10.7910/dvn/l28uaq,no_cz_ror_match_in_datacite
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,1,,Irsova,"Irsova, Zuzana",,doi:10.7910/dvn/l28uaq,openaire,10.7910/dvn/l28uaq,10.7910/dvn/l28uaq,no_cz_ror_match_in_datacite
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,3,,Laslopova,"Laslopova, Lubica",,doi:10.7910/dvn/l28uaq,openaire,10.7910/dvn/l28uaq,10.7910/dvn/l28uaq,no_cz_ror_match_in_datacite
AAU,Anglo-American University,https://ror.org/03arvv474,doi_________::5c9947d6dbbc3cb45e6135ce582e47cd,10.7910/dvn/l28uaq,4,,Zeynalova,"Zeynalova, Olesia",,doi:10.7910/dvn/l28uaq,openaire,10.7910/dvn/l28uaq,10.7910/dvn/l28uaq,no_cz_ror_match_in_datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,3,,Chvojka,"Chvojka, Ondřej",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire,10.5281/zenodo.4453185,10.5281/zenodo.4453185,no_cz_ror_match_in_datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d08a4787589748a7191d6eba451d467c,10.5281/zenodo.6475798,3,,Chvojka,"Chvojka, Ondřej",,"doi:10.5281/zenodo.6475797, doi:10.5281/zenodo.6475798",openaire,10.5281/zenodo.6475798,10.5281/zenodo.6475798,no_cz_ror_match_in_datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,1,,Kuna,"Kuna, Martin",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire,10.5281/zenodo.4453185,10.5281/zenodo.4453185,no_cz_ror_match_in_datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d08a4787589748a7191d6eba451d467c,10.5281/zenodo.6475798,1,,Kuna,"Kuna, Martin",,"doi:10.5281/zenodo.6475797, doi:10.5281/zenodo.6475798",openaire,10.5281/zenodo.6475798,10.5281/zenodo.6475798,no_cz_ror_match_in_datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,2,,Křivánek,"Křivánek, Roman",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire,10.5281/zenodo.4453185,10.5281/zenodo.4453185,no_cz_ror_match_in_datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::d08a4787589748a7191d6eba451d467c,10.5281/zenodo.6475798,2,,Němcová,"Němcová, Andrea",,"doi:10.5281/zenodo.6475797, doi:10.5281/zenodo.6475798",openaire,10.5281/zenodo.6475798,10.5281/zenodo.6475798,no_cz_ror_match_in_datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a7dedd74e28d8df028ef87652ffa7285,10.5281/zenodo.4453185,4,,Šálková,"Šálková, Tereza",,"doi:10.5281/zenodo.4453184, doi:10.5281/zenodo.4453185",openaire,10.5281/zenodo.4453185,10.5281/zenodo.4453185,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::3efe9d12892a7e3bfde841ec2e1a0506,10.6084/m9.figshare.16850419.v2,63,,A. Minor,"A. Minor, Maria",,doi:10.6084/m9.figshare.16850419.v2,openaire,10.6084/m9.figshare.16850419.v2,10.6084/m9.figshare.16850419.v2,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::0b0eaaaceb9fe277567ef4fc40bee519,10.6084/m9.figshare.16850419.v3,63,,A. Minor,"A. Minor, Maria",,"doi:10.6084/m9.figshare.16850419, doi:10.6084/m9.figshare.16850419.v3",openaire,10.6084/m9.figshare.16850419.v3,10.6084/m9.figshare.16850419.v3,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::3139610bc061b66b88ce92bf24d1d1c4,10.5291/ill-data.6-07-64,2,,,ABDELSATER Mohammad,,doi:10.5291/ill-data.6-07-64,openaire,10.5291/ill-data.6-07-64,10.5291/ill-data.6-07-64,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::ecfd3e041935796a39afb68cbf3f5fd6,10.57745/0ifrjt,8,,ALISEDA,"ALISEDA, Alberto",,doi:10.57745/0ifrjt,openaire,10.57745/0ifrjt,10.57745/0ifrjt,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::6aec3f57fe269f260a8fae8298e8d723,10.57745/5xwyqy,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/4mhhi4, doi:10.57745/5xwyqy",openaire,10.57745/5xwyqy,10.57745/5xwyqy,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::79cabb2a546a287da80fbc53b5f7d381,10.57745/8820ms,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/5ippau, doi:10.57745/8820ms",openaire,10.57745/8820ms,10.57745/8820ms,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::497597d10a15da293f6454c4126020db,10.57745/ckbogf,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/0xjzga, doi:10.57745/ckbogf",openaire,10.57745/ckbogf,10.57745/ckbogf,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::21a1ca2061ae138464e45c95078bb39b,10.57745/ckh3cq,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/1kcoly, doi:10.57745/ckh3cq",openaire,10.57745/ckh3cq,10.57745/ckh3cq,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::23711cd7ec498be8d719651f38a82034,10.57745/fqqpaz,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/83fffo, doi:10.57745/fqqpaz",openaire,10.57745/fqqpaz,10.57745/fqqpaz,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::3666e82a3140a2b22000d3870f4d9760,10.57745/fwrskn,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/dglao9, doi:10.57745/fwrskn",openaire,10.57745/fwrskn,10.57745/fwrskn,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::0f412dc9a852aec362924ebdd27f6b50,10.57745/gwt2hj,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/9daitp, doi:10.57745/gwt2hj",openaire,10.57745/gwt2hj,10.57745/gwt2hj,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::24cd494b7f8dd05bef2f28e0fc425682,10.57745/h5pwsx,8,,ALISEDA,"ALISEDA, Alberto",,doi:10.57745/h5pwsx,openaire,10.57745/h5pwsx,10.57745/h5pwsx,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::fc6c5895980621f678010b236b579410,10.57745/he9w6i,8,,ALISEDA,"ALISEDA, Alberto",,doi:10.57745/he9w6i,openaire,10.57745/he9w6i,10.57745/he9w6i,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::893b821ef43154c94f730170ec0b85fc,10.57745/hon8nr,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/bxklef, doi:10.57745/hon8nr",openaire,10.57745/hon8nr,10.57745/hon8nr,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::0c0c9cc176a23bf7a3dbcb5c70e05793,10.57745/johhpk,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/goaj2f, doi:10.57745/johhpk",openaire,10.57745/johhpk,10.57745/johhpk,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::73510cc3ed97b8c4e15a7e1c379e7a46,10.57745/jpfgoo,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/iz3sky, doi:10.57745/jpfgoo",openaire,10.57745/jpfgoo,10.57745/jpfgoo,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::5c4e0e71838f83d1b03467ce84e18157,10.57745/kvkykp,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/blcr7g, doi:10.57745/kvkykp",openaire,10.57745/kvkykp,10.57745/kvkykp,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::4564ecfe1a000602cc2ef1c801e9b151,10.57745/lgdtsl,8,,ALISEDA,"ALISEDA, Alberto",,doi:10.57745/lgdtsl,openaire,10.57745/lgdtsl,10.57745/lgdtsl,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::5cb888bf9c9c4377e5dd0afcbcb7a10f,10.57745/llhyum,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/jvvyg0, doi:10.57745/llhyum",openaire,10.57745/llhyum,10.57745/llhyum,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::31b8a45f6d8d5bf1ecb27870089ec383,10.57745/lnhhbx,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/dcubaz, doi:10.57745/lnhhbx",openaire,10.57745/lnhhbx,10.57745/lnhhbx,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::c8d7f806632e170a98d6c4dff6f61b55,10.57745/lzkozb,8,,ALISEDA,"ALISEDA, Alberto",,doi:10.57745/lzkozb,openaire,10.57745/lzkozb,10.57745/lzkozb,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::06929a0ee31be77410db53410bd170b7,10.57745/mva6mk,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/gxg1dp, doi:10.57745/mva6mk",openaire,10.57745/mva6mk,10.57745/mva6mk,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::621f16b66177de26dba943be6f49c7f1,10.57745/n5eqqe,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/dpb4dd, doi:10.57745/n5eqqe",openaire,10.57745/n5eqqe,10.57745/n5eqqe,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::68f3b576c6020d686751191c59d72729,10.57745/ndar64,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/icncja, doi:10.57745/ndar64",openaire,10.57745/ndar64,10.57745/ndar64,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::0bdd692e3d6d7a19b66690b419936e36,10.57745/nkraib,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/dmy99y, doi:10.57745/nkraib",openaire,10.57745/nkraib,10.57745/nkraib,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::bcdd86d85b3b4b12ab74099f8628a1bc,10.57745/npa7jh,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/h8htdw, doi:10.57745/npa7jh",openaire,10.57745/npa7jh,10.57745/npa7jh,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::0272e646a2f3040c02c3c356e5a245ec,10.57745/npafz5,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/jjm1gq, doi:10.57745/npafz5",openaire,10.57745/npafz5,10.57745/npafz5,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::4a7f0521ae289b5d77f3ca570b0716aa,10.57745/nq9tdu,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/fynjff, doi:10.57745/nq9tdu",openaire,10.57745/nq9tdu,10.57745/nq9tdu,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::1723368386991a95adefa2003d1abf74,10.57745/nz8vtx,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/nlilel, doi:10.57745/nz8vtx",openaire,10.57745/nz8vtx,10.57745/nz8vtx,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::7d91b93ee01b781794d9ce63ce7bf72c,10.57745/o6d56h,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/dl7wsq, doi:10.57745/o6d56h",openaire,10.57745/o6d56h,10.57745/o6d56h,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::3dce13a9b073cfc83018bbbc8f97d332,10.57745/ogys1h,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/ebp9ja, doi:10.57745/ogys1h",openaire,10.57745/ogys1h,10.57745/ogys1h,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::545b0191e6f173cda881dd8581640b25,10.57745/ovblls,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/dgdx9t, doi:10.57745/ovblls",openaire,10.57745/ovblls,10.57745/ovblls,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::3d8b517437d21bebb1f3bf57440d4354,10.57745/prskg6,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/h80c0i, doi:10.57745/prskg6",openaire,10.57745/prskg6,10.57745/prskg6,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::95cb5cb89faadc50139c6bb4ccea34ff,10.57745/px6rhn,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/6rlfpf, doi:10.57745/px6rhn",openaire,10.57745/px6rhn,10.57745/px6rhn,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::ba023e7cee1d3fcb3eee48062ab8a098,10.57745/q0ix6t,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/hlufwj, doi:10.57745/q0ix6t",openaire,10.57745/q0ix6t,10.57745/q0ix6t,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::57445ecc699e85d064a8f8e1b7fa643c,10.57745/q5nbem,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/m3o4jh, doi:10.57745/q5nbem",openaire,10.57745/q5nbem,10.57745/q5nbem,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::9a62ab226917e47101751038e07b9fd4,10.57745/qcphkx,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/lwdtec, doi:10.57745/qcphkx",openaire,10.57745/qcphkx,10.57745/qcphkx,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::e0fe9e8d89721fd41420b3a0fa39e2af,10.57745/rbzhjm,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/peqypn, doi:10.57745/rbzhjm",openaire,10.57745/rbzhjm,10.57745/rbzhjm,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::1139b7e4131e67eaa76cd670a2a591b0,10.57745/rl0hws,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/r2plpe, doi:10.57745/rl0hws",openaire,10.57745/rl0hws,10.57745/rl0hws,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::1546082b613b6da7192d50c7ffddb6e9,10.57745/rlt3ui,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/ogyymh, doi:10.57745/rlt3ui",openaire,10.57745/rlt3ui,10.57745/rlt3ui,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::3cf6c7c6020af23f78bf3d319a2844a7,10.57745/rnhwne,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/5jfont, doi:10.57745/rnhwne",openaire,10.57745/rnhwne,10.57745/rnhwne,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::f6cda5a366abbf20667f23bd9cd44a0c,10.57745/seuhs3,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/d36imy, doi:10.57745/seuhs3",openaire,10.57745/seuhs3,10.57745/seuhs3,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::2cca206678c00ed7aff9a2c5c329b079,10.57745/skbwt0,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/kuisja, doi:10.57745/skbwt0",openaire,10.57745/skbwt0,10.57745/skbwt0,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::ba2783e0281dad9f9096ff26ffd8b6c9,10.57745/skzopj,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/gtzwow, doi:10.57745/skzopj",openaire,10.57745/skzopj,10.57745/skzopj,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::0236b4967fea9f0afef1c90354b1cee4,10.57745/sl7zcw,8,,ALISEDA,"ALISEDA, Alberto",,doi:10.57745/sl7zcw,openaire,10.57745/sl7zcw,10.57745/sl7zcw,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::acf26956ffd3d7ff778a21c55c99b4d5,10.57745/swas9c,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/shsb0k, doi:10.57745/swas9c",openaire,10.57745/swas9c,10.57745/swas9c,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::0d21a38185917eb35e9ba61a9803cc52,10.57745/t4dnv5,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/0y9ode, doi:10.57745/t4dnv5",openaire,10.57745/t4dnv5,10.57745/t4dnv5,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::7ab84b7a2377453e11d47231beec9d01,10.57745/tfdzqh,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/gcszge, doi:10.57745/tfdzqh",openaire,10.57745/tfdzqh,10.57745/tfdzqh,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::ebd12c51e63987b483e9514aabe76c83,10.57745/ujtqh6,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/jql2k5, doi:10.57745/ujtqh6",openaire,10.57745/ujtqh6,10.57745/ujtqh6,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::714a666deb8d81cc65b2dccbb4dfaab2,10.57745/uo54qa,8,,ALISEDA,"ALISEDA, Alberto",,doi:10.57745/uo54qa,openaire,10.57745/uo54qa,10.57745/uo54qa,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::0d6e692e196fe811bc950f0e2e794244,10.57745/vfbwte,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/k0cyc1, doi:10.57745/vfbwte",openaire,10.57745/vfbwte,10.57745/vfbwte,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::36b38d56dad2e19197fcc67cf4b14edc,10.57745/vzsdqs,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/pe6qcr, doi:10.57745/vzsdqs",openaire,10.57745/vzsdqs,10.57745/vzsdqs,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::67e7fb9950f03c547fdd83543f6acbd4,10.57745/wkam5e,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/16ltxz, doi:10.57745/wkam5e",openaire,10.57745/wkam5e,10.57745/wkam5e,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::a4013dce1b0e4acd7b5be650cc6493c9,10.57745/wsxl4i,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/crwkc0, doi:10.57745/wsxl4i",openaire,10.57745/wsxl4i,10.57745/wsxl4i,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::3a3dbc3a68bd4259f98e1fa0e7f00652,10.57745/wyzfbs,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/i8vunj, doi:10.57745/wyzfbs",openaire,10.57745/wyzfbs,10.57745/wyzfbs,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::1e8d49cde5dbfe35334959a7da2d8a7c,10.57745/x2wepf,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/8xxsch, doi:10.57745/x2wepf",openaire,10.57745/x2wepf,10.57745/x2wepf,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::65c8df24712d08d540461f3d9ff583e8,10.57745/x95wxs,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/k551g1, doi:10.57745/x95wxs",openaire,10.57745/x95wxs,10.57745/x95wxs,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::bbf16611b7bef2716e98790010c85a75,10.57745/yclh0w,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/ses4pa, doi:10.57745/yclh0w",openaire,10.57745/yclh0w,10.57745/yclh0w,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::9fc893996f9ffee8c581b81d14dba213,10.57745/yee6fs,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/bnq5ga, doi:10.57745/yee6fs",openaire,10.57745/yee6fs,10.57745/yee6fs,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::8e2fc08139c88c163db12f6f000a58bc,10.57745/yjjcli,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/18byng, doi:10.57745/yjjcli",openaire,10.57745/yjjcli,10.57745/yjjcli,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::025c91578435661b768a79dd6597557b,10.57745/ykw8oa,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/v3vx71, doi:10.57745/ykw8oa",openaire,10.57745/ykw8oa,10.57745/ykw8oa,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::cba6c90b26afb4a743142fe6e3312354,10.57745/yojkni,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/s4ruzj, doi:10.57745/yojkni",openaire,10.57745/yojkni,10.57745/yojkni,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::2904ef4eba8b92c495c85126f5b60bc0,10.57745/yvrwar,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/elcndb, doi:10.57745/yvrwar",openaire,10.57745/yvrwar,10.57745/yvrwar,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::6c9360b25bfdf95872f8a35ccd2c36a8,10.57745/z1jgru,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/i73suq, doi:10.57745/z1jgru",openaire,10.57745/z1jgru,10.57745/z1jgru,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::6e1c5af7d8fcc4d2b8f49f75ab938fa1,10.57745/z7qi6r,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/pzz6dt, doi:10.57745/z7qi6r",openaire,10.57745/z7qi6r,10.57745/z7qi6r,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::3a1e3260438cbdbd332f891168956e42,10.57745/zitjgc,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/ggpxc0, doi:10.57745/zitjgc",openaire,10.57745/zitjgc,10.57745/zitjgc,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::672c2c2b00454bb0e6d4dcaaaff8d6bc,10.57745/zzk9dy,8,,ALISEDA,"ALISEDA, Alberto",,"doi:10.57745/c1rdo0, doi:10.57745/zzk9dy",openaire,10.57745/zzk9dy,10.57745/zzk9dy,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::3139610bc061b66b88ce92bf24d1d1c4,10.5291/ill-data.6-07-64,4,,,ALVARADO GALINDO Fernanda,,doi:10.5291/ill-data.6-07-64,openaire,10.5291/ill-data.6-07-64,10.5291/ill-data.6-07-64,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_________::3139610bc061b66b88ce92bf24d1d1c4,10.5291/ill-data.6-07-64,5,,,ANTUNES CORREA Cinthia,,doi:10.5291/ill-data.6-07-64,openaire,10.5291/ill-data.6-07-64,10.5291/ill-data.6-07-64,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::7f4413e488cf85c6dca5a95caf21308f,10.5281/zenodo.7970893,3,,Aalto,"Aalto, Juha",,"doi:10.5281/zenodo.4558662, doi:10.5281/zenodo.4558663, doi:10.5281/zenodo.7970893, handle:10067/1806180151162165141",openaire,10.5281/zenodo.7970893,10.5281/zenodo.7970893,no_cz_ror_match_in_datacite
AVCR,Czech Academy of Sciences,https://ror.org/053avzc18,doi_dedup___::9aa4408643c056ec62070287a56e9885,10.7804/cses.module5.2023-07-25,190,,Aardal,"Aardal, Bernt",,doi:10.7804/cses.module5.2023-07-25,openaire,10.7804/cses.module5.2023-07-25,10.7804/cses.module5.2023-07-25,no_cz_ror_match_in_datacite
