doi_norm;inst_short_oa;inst_full_oa;institution_ror;affiliation_name;affiliation_identifier;affiliation_identifier_scheme;affiliation_scheme_uri;oa_full_norm;oa_short_norm;dc_aff_norm;manual_match
10.14473/csda/arrmj0/bpdlkj;MU;Masaryk University;https://ror.org/02j46qs45;(Institut sociologických studii MU Brno);;;;masarykuniversity;mu;institut sociologickych studii mu brno);""
10.14473/csda/arrmj0/l6p3cs;MU;Masaryk University;https://ror.org/02j46qs45;(Institut sociologických studii MU Brno);;;;masarykuniversity;mu;institut sociologickych studii mu brno);""
10.14473/csda/arrmj0/uawpgq;MU;Masaryk University;https://ror.org/02j46qs45;(Institut sociologických studii MU Brno);;;;masarykuniversity;mu;institut sociologickych studii mu brno);""
10.14473/csda/ayv5il;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/ayv5il;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE-EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/ayv5il;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE-EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/ayv5il;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE-EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/az9fkv;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE-EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/az9fkv;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE-EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/az9fkv;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE-EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/az9fkv;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE-EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/az9fkv;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE-EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/az9fkv;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE-EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/az9fkv;CERGE-EI;Center for Economic Research and Graduate Education – Economics Institute;https://ror.org/0362ttz08;CERGE-EI;;;;centerfor economic research and graduate education – economics institute;cergeei;cergeei;""
10.14473/csda/b73gvd;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/b73gvd;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/b73gvd;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/b73gvd;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
10.14473/csda/b73gvd;Institute of Sociology;Institute of Sociology;https://ror.org/018hy5194;Institute of Sociology of the Czech Academy of Sciences;;;;instituteof sociology;instituteof sociology;instituteof sociology of the czech academy of sciences;""
