institution,institution_full,institution_ror,dataset_id,doi,creator_order,given_name,family_name,author_name,orcid,pids,affiliation_source
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a6b6e63b417ccb9469623a61e4246869,10.5281/zenodo.13872160,3,Jan,Volf,Jan Volf,0000-0003-0126-5767,"doi:10.5281/zenodo.13872160, doi:10.5281/zenodo.13872161, doi:10.5281/zenodo.14950261",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a6b6e63b417ccb9469623a61e4246869,10.5281/zenodo.13872161,3,Jan,Volf,Jan Volf,0000-0003-0126-5767,"doi:10.5281/zenodo.13872160, doi:10.5281/zenodo.13872161, doi:10.5281/zenodo.14950261",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::a6b6e63b417ccb9469623a61e4246869,10.5281/zenodo.14950261,3,Jan,Volf,Jan Volf,0000-0003-0126-5767,"doi:10.5281/zenodo.13872160, doi:10.5281/zenodo.13872161, doi:10.5281/zenodo.14950261",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::1ac3fa5091f32bb8a83c2f5010f7b414,10.5281/zenodo.15754872,3,Jaroslav,Ridky,Jaroslav Ridky,0000-0001-8651-3496,"doi:10.5281/zenodo.15754872, doi:10.5281/zenodo.15754873",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::1ac3fa5091f32bb8a83c2f5010f7b414,10.5281/zenodo.15754873,3,Jaroslav,Ridky,Jaroslav Ridky,0000-0001-8651-3496,"doi:10.5281/zenodo.15754872, doi:10.5281/zenodo.15754873",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::3a0cf55b8f98fec2fd0363e4255877ea,10.5281/zenodo.14295005,2,Jiri,Sneberger,Jiri Sneberger,0000-0001-7154-4716,"doi:10.5281/zenodo.14295005, doi:10.5281/zenodo.14295006",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::3a0cf55b8f98fec2fd0363e4255877ea,10.5281/zenodo.14295006,2,Jiri,Sneberger,Jiri Sneberger,0000-0001-7154-4716,"doi:10.5281/zenodo.14295005, doi:10.5281/zenodo.14295006",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::01b789317d533b40fcde9de4912a7b23,10.5281/zenodo.15442981,2,Jiri,Sneberger,Jiri Sneberger,0000-0001-7154-4716,"doi:10.5281/zenodo.15442981, doi:10.5281/zenodo.15442982",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::01b789317d533b40fcde9de4912a7b23,10.5281/zenodo.15442982,2,Jiri,Sneberger,Jiri Sneberger,0000-0001-7154-4716,"doi:10.5281/zenodo.15442981, doi:10.5281/zenodo.15442982",datacite
ARUP,"Institute of Archaeology of the Czech Academy of Sciences, Prague",https://ror.org/0287jta43,doi_dedup___::1ac3fa5091f32bb8a83c2f5010f7b414,10.5281/zenodo.15754872,1,Kristina,Doležalová,Kristina Doležalová,0009-0006-4100-6339,"doi:10.5281/zenodo.15754872, doi:10.5281/zenodo.15754873",datacite
